id,title,company,industry,location,salary,job_type,experience,education,posting_date,source,description,requirements,url
10646034,Marketing,"TIQE (CAMBODIA) EQUIPMENT CO.,LTD",Manufacturing,Phnom Penh,Negotiable,Full Time,Function,Bachelor Degree,Term,CamHR,"- Plan and execute digital marketing campaigns (Facebook, TikTok, YouTube) - Create content and visuals to promote industrial products - Analyze marketing performance and prepare monthly reports - Sup","Job Requirements - Knowledge or experience in digital marketing and social media management - Ability to create and edit content (photos, videos, or graphics) - Skills in data analysis and report writ",https://www.camhr.com/a/job/10646034?title=%20Marketing
10644425,"Network/IT Engineer / 网络 / IT 工程师, Salary $1,500 - $5,000 - Pailin Province / Takeo Province 拜林省 / 财通省",Lu Yun Network Technology Limited 陸雲網絡科技有限公司,Information Technology,Pailin,Negotiable,如在其他公司表现优秀，薪资不符预期者，可协助垫付解约费用并上调薪资,Function,No limitations,Term,CamHR,【Job Openings｜招聘岗位及人数】 招聘岗位及人数 1. China Network Equipment Maintenance Engineer：2 中国网络设备维护工程师：2 名 2. Cambodian IT Network Engineer (Fluent in Chinese)：2 柬埔寨籍 IT 网络工程师（会中文）：2 名 3. Cambodian IT Network E,Job Requirements 【Job Requirements｜任职要求（All skills listed below are mandatory）】 【以下技能均为必备条件，本岗位不接受实习或无经验人员】 • Possess solid networking fundamentals with hands-on experience 具备扎实的网络基础，并有实际部署与运维经验 • Pro,"https://www.camhr.com/a/job/10644425?title=Network/IT%20Engineer%20/%20%E7%BD%91%E7%BB%9C%20/%20IT%20%E5%B7%A5%E7%A8%8B%E5%B8%88,%20Salary%20$1,500%20-%20$5,000%20-%20Pailin%20Province%20/%20Takeo%20Province%20%E6%8B%9C%E6%9E%97%E7%9C%81%20/%20%E8%B4%A2%E9%80%9A%E7%9C%81"
10645902,Senior Talent Acquisition Officer x1,"TUNSAI SOLUTIONS CO., LTD.",General Business Services,Phnom Penh,Negotiable,Full Time,Function,● Native Khmer speaker with good proficiency in English (both written and spoken).,Chat Now,CamHR,"As a Talent Acquisition at Tunsai, you will play a key role in attracting and hiring the right talent across both operational and back-office functions. From frontline technicians and laborers to admi","Job Requirements * Qualifications & Skills ● Native Khmer speaker with good proficiency in English (both written and spoken). ● Bachelor’s degree in Human Resources, Business Administration, or relate",https://www.camhr.com/a/job/10645902?title=Senior%20Talent%20Acquisition%20Officer%20x1
10646033,Customer service,"TIQE (CAMBODIA) EQUIPMENT CO.,LTD",Manufacturing,Phnom Penh,Negotiable,Full Time,Function,Bachelor Degree,Term,CamHR,-Make weekly working plan on Google Drive+ Working -Connect-follow up working between team sale & team service and customer. -Understanding the products and goods the company supplies. -Consultant cus,"Job Requirements -Experience: related experience or don’t have also accept, -can use computer word excel email -Require : Good at English *Salary: Negotiation *Working time: 08.00 – 17.00 from Mon to ",https://www.camhr.com/a/job/10646033?title=Customer%20service
10646029,Service admin,"TIQE (CAMBODIA) EQUIPMENT CO.,LTD",Manufacturing,Phnom Penh,Negotiable,Full Time,Function,Bachelor Degree,Term,CamHR,"-Make weekly working plan on Google Drive+ Working -connect -follow up working between team and customer -Understanding the products and goods the company supplies. -Prepare quotations, handover minut","Job Requirements -related experience or don’t have also accept, -can use computer wordexcel email -Require: Good at English * Salary: Negotiation * Working time: 08.00 – 17.00 from Mon to Fri and 08.0",https://www.camhr.com/a/job/10646029?title=Service%20admin
10645900,Sales Manager x 1,"TUNSAI SOLUTIONS CO., LTD.",General Business Services,Phnom Penh,Negotiable,Full Time,Function,Bachelor Degree,Chat Now,CamHR,"As a Sales Manager, you will be responsible for driving revenue growth by building strong relationships with both institutional (government & corporate) and individual (household) clients. You’ll iden","Job Requirements * Qualifications & Skills ● 3+ years of sales experience, ideally across both B2B (institutions) and B2C (households or retail). ● Confidence and professionalism when speaking with cl",https://www.camhr.com/a/job/10645900?title=Sales%20Manager%20x%201
10645901,Sales Executive x 2,"TUNSAI SOLUTIONS CO., LTD.","● Strong interpersonal and communication skills, both verbal and written.",Phnom Penh,Negotiable,● Maintain accurate client records and consultation history in the CRM system.,Function,Bachelor Degree,Chat Now,CamHR,"Position Overview: As a Sales Consultant at Tunsai, you will act as a trusted advisor to clients, helping them identify and select the most suitable cleaning and maintenance solutions for their proper","Job Requirements ● Bachelor’s degree in Business, Marketing, or a related field (preferred but not mandatory). ● 1–2 years of experience in sales, customer service, or consulting roles (experience in ",https://www.camhr.com/a/job/10645901?title=Sales%20Executive%20x%202
10643080,Senior Logistic Officer,"HANUMAN AUTO TRADING CO.,LTD",Automotive - Vehicle,Phnom Penh,$500-$999,Full Time,Function,Bachelor Degree,Term,CamHR,"• Prepare daily tracking report to warehouse • Prepare daily tracking report to warehouse • Prepare invoice, packing list and other document to clearance agency • Tracking shipment from dispatch until","Job Requirements • Hold at least Bachelor’s degree in accounting, Business administration, Logistics or related fields. • Knowledge functional of accounting • At least 2 to 3 years of experience in ro",https://www.camhr.com/a/job/10643080?title=Senior%20Logistic%20Officer
10645219,Quantity Surveyor,"Urban Living Solutions Co., Ltd.",Real Estate,Phnom Penh,Negotiable,• Liaise with consultants and contractors to validate cost-related submissions,Function,Bachelor Degree,Term,CamHR,"Role & Responsibilities Cost Management & Assessment~30% of total work time dedication • Prepared detailed cost estimates, cost plan and budget forecast for all project stages • Assess construction co",Job Requirements Education • Bachelor’s degree in quantity Surveyor or related fields Experience • Minimum 3-5 years of relevant experience preferably with developer/client-side exposure • Strong unde,https://www.camhr.com/a/job/10645219?title=Quantity%20Surveyor
10644220,HR Manager $700-$800 ( Negotiating),ដំណឹងជ្រើសរើសបុគ្គលិក,Others,Phnom Penh,Negotiable,Full Time,Function,Bachelor Degree,Term,CamHR,- Develop and implement HR strategies aligned with company objectives. - Manage recruitment processes for construction workers and office staff. - Design and execute training programs to improve worke,"Job Requirements - Bachelor’s degree in Human Resources, Law, or related fields. - Minimum 3–5 years of HR management experience, preferably in construction (special is providing unskilled labor for c",https://www.camhr.com/a/job/10644220?title=HR%20Manager%20$700-$800%20(%20Negotiating)
