id,title,url,source
10645540,"អ្នកបកប្រែភាសាកូរ៉េ , Korean Translator","https://www.camhr.com/a/job/10645540?title=%20%E1%9E%A2%E1%9F%92%E1%9E%93%E1%9E%80%E1%9E%94%E1%9E%80%E1%9E%94%E1%9F%92%E1%9E%9A%E1%9F%82%E1%9E%97%E1%9E%B6%E1%9E%9F%E1%9E%B6%E1%9E%80%E1%9E%BC%E1%9E%9A%E1%9F%89%E1%9F%81%20,%20Korean%20Translator",CamHR
10645121,បុគ្គលិក IT On Site ( 3 នាក់),https://www.camhr.com/a/job/10645121?title=%E1%9E%94%E1%9E%BB%E1%9E%82%E1%9F%92%E1%9E%82%E1%9E%9B%E1%9E%B7%E1%9E%80%20IT%20On%20Site%20(%203%20%E1%9E%93%E1%9E%B6%E1%9E%80%E1%9F%8B),CamHR
10645128,Senior Receptionist (1 post) / Customer Service (1 post),https://www.camhr.com/a/job/10645128?title=Senior%20Receptionist%20%20(1%20post)%20/%20Customer%20Service%20(1%20post),CamHR
10645040,Sale Executive & Sale Manager,https://www.camhr.com/a/job/10645040?title=Sale%20Executive%20&%20Sale%20Manager,CamHR
10645041,Senior admin & HR officer,https://www.camhr.com/a/job/10645041?title=Senior%20admin%20&%20HR%20officer,CamHR
10644042,Operation Officer (Chinese Speaking),https://www.camhr.com/a/job/10644042?title=Operation%20Officer%20(Chinese%20Speaking),CamHR
10644941,总经理-助理,https://www.camhr.com/a/job/10644941?title=%E6%80%BB%E7%BB%8F%E7%90%86-%E5%8A%A9%E7%90%86,CamHR
10644942,财务专员,https://www.camhr.com/a/job/10644942?title=%E8%B4%A2%E5%8A%A1%E4%B8%93%E5%91%98,CamHR
10644937,翻译人员,https://www.camhr.com/a/job/10644937?title=%E7%BF%BB%E8%AF%91%E4%BA%BA%E5%91%98,CamHR
10641600,Maintenance Planner (Location: Okvau Site),https://www.camhr.com/a/job/10641600?title=Maintenance%20Planner%20%20(Location:%20Okvau%20Site),CamHR
10644111,Junior Mine Surveyor (1 pax),https://www.camhr.com/a/job/10644111?title=Junior%20Mine%20Surveyor%20(1%20pax),CamHR
10644413,ផ្នែកជុសជុលរ៉េវើទ័រ,https://www.camhr.com/a/job/10644413?title=%E1%9E%95%E1%9F%92%E1%9E%93%E1%9F%82%E1%9E%80%E1%9E%87%E1%9E%BB%E1%9E%9F%E1%9E%87%E1%9E%BB%E1%9E%9B%E1%9E%9A%E1%9F%89%E1%9F%81%E1%9E%9C%E1%9E%BE%E1%9E%91%E1%9F%90%E1%9E%9A,CamHR
10644020,INTERIOR DESIGNER,https://www.camhr.com/a/job/10644020?title=INTERIOR%20DESIGNER,CamHR
10641798,Customer Service Officer (2pax),https://www.camhr.com/a/job/10641798?title=Customer%20Service%20Officer%20(2pax),CamHR
10643464,Assistant Relationship Manager,https://www.camhr.com/a/job/10643464?title=Assistant%20Relationship%20Manager,CamHR
10643463,Senior Relationship Officer,https://www.camhr.com/a/job/10643463?title=Senior%20Relationship%20Officer,CamHR
10643420,Intern - Operation,https://www.camhr.com/a/job/10643420?title=Intern%20-%20Operation,CamHR
10642580,ផ្នែកលក់ ( Sales Representative ) និង អ្នកបើកឡាន(Delivery),https://www.camhr.com/a/job/10642580?title=%E1%9E%95%E1%9F%92%E1%9E%93%E1%9F%82%E1%9E%80%E1%9E%9B%E1%9E%80%E1%9F%8B%20(%20Sales%20Representative%20)%20%E1%9E%93%E1%9E%B7%E1%9E%84%20%E1%9E%A2%E1%9F%92%E1%9E%93%E1%9E%80%E1%9E%94%E1%9E%BE%E1%9E%80%E1%9E%A1%E1%9E%B6%E1%9E%93(Delivery),CamHR
10641484,中文翻译 Chinese Translator $400-$800,https://www.camhr.com/a/job/10641484?title=%E4%B8%AD%E6%96%87%E7%BF%BB%E8%AF%91%20Chinese%20Translator%20$400-$800,CamHR
10642522,中英柬翻译\Chinese-English-Khmer Translation\អ្នកបកប្រែចិន-អង់គ្លេស-ខ្មែរ,https://www.camhr.com/a/job/10642522?title=%E4%B8%AD%E8%8B%B1%E6%9F%AC%E7%BF%BB%E8%AF%91\Chinese-English-Khmer%20Translation\%E1%9E%A2%E1%9F%92%E1%9E%93%E1%9E%80%E1%9E%94%E1%9E%80%E1%9E%94%E1%9F%92%E1%9E%9A%E1%9F%82%E1%9E%85%E1%9E%B7%E1%9E%93-%E1%9E%A2%E1%9E%84%E1%9F%8B%E1%9E%82%E1%9F%92%E1%9E%9B%E1%9F%81%E1%9E%9F-%E1%9E%81%E1%9F%92%E1%9E%98%E1%9F%82%E1%9E%9A,CamHR
10642041,Sales Executive/International Sales Executive/ Purchasing Officer(oversea)/ Accountant/Chief Accountant (Tax & Trade Focus),https://www.camhr.com/a/job/10642041?title=Sales%20Executive/International%20Sales%20Executive/%20Purchasing%20Officer(oversea)/%20Accountant/Chief%20Accountant%20(Tax%20&%20Trade%20Focus),CamHR
